,_p,_v,_t
188,2.5231,293.83,1589366471902
189,2.5236,6.17,1589366471902
190,2.5236,68.98,1589366471911
191,2.5236,345.03,1589366471911
192,2.5225,11.8,1589366472487
193,2.5238,159.12,1589366538886
194,2.5238,127.29,1589366538988
195,2.5238,1300.0,1589366544753
196,2.5239,5.31,1589366560386
197,2.5241,199.45,1589366560386
198,2.5246,112.63,1589366560386
199,2.5251,68.93,1589366561093
200,2.5252,76.65,1589366571780
201,2.5257,1223.35,1589366571780
202,2.5255,39.04,1589366580499
203,2.5249,43.16,1589366580499
204,2.5258,7.91,1589366588406
205,2.5247,4.59,1589366623483
206,2.5247,34.74,1589366623958
207,2.5247,169.23,1589366624074
208,2.5247,32.93,1589366624931
209,2.5247,177.18,1589366625032
210,2.5247,31.95,1589366625364
211,2.5247,34.65,1589366625458
212,2.5248,239.0,1589366659800
213,2.5247,119.62,1589366700534
214,2.5247,179.89,1589366723963
215,2.5247,39.24,1589366724052
216,2.5247,98.76,1589366724167
217,2.5247,59.83,1589366724369
218,2.5241,6.72,1589366762825
219,2.5241,1.19,1589366793038
220,2.5229,158.81,1589366793038
221,2.5229,200.0,1589366793040
222,2.523,7.91,1589366793064
223,2.5229,92.09,1589366793064
224,2.5227,200.0,1589366793091
225,2.5227,365.3,1589366793094
226,2.5228,7.91,1589366793122
227,2.5227,298.32,1589366793122
228,2.5226,882.93,1589366793122
229,2.5226,367.07,1589366801933
230,2.5225,794.7,1589366801933
231,2.5225,200.0,1589366807638
232,2.5225,20.04,1589366808224
233,2.5225,20.08,1589366808807
234,2.5225,20.07,1589366809406
235,2.5225,20.04,1589366809991
236,2.5225,20.01,1589366810573
237,2.5225,20.07,1589366811161
238,2.5225,20.07,1589366811757
239,2.5225,20.0,1589366812339
240,2.5225,20.05,1589366812923
241,2.5225,20.05,1589366813511
242,2.5225,20.04,1589366814103
243,2.5225,20.13,1589366814688
244,2.5225,20.02,1589366815271
245,2.5225,20.1,1589366815865
246,2.5225,20.04,1589366816451
247,2.5225,4.49,1589366817045
248,2.5214,15.59,1589366817045
249,2.5233,191.3,1589366834529
250,2.5233,168.85,1589366835034
251,2.5235,163.6,1589366835178
252,2.5235,187.69,1589366835400
253,2.5235,171.87,1589366835494
254,2.5236,173.9,1589366835597
255,2.5242,17.01,1589366866712
256,2.5243,51.22,1589366869338
257,2.5242,4.59,1589366965987
258,2.5243,5.55,1589366988491
259,2.5243,620.44,1589367006964
260,2.5243,620.47,1589367006976
261,2.5243,11.06,1589367006987
262,2.5244,200.0,1589367007195
263,2.5264,74.22,1589367036605
264,2.5265,5.3,1589367036700
265,2.5269,141.69,1589367037324
266,2.527,68.87,1589367037480
267,2.5273,131.13,1589367037480
268,2.5255,18.75,1589367039135
269,2.5257,74.16,1589367046433
270,2.5276,66.01,1589367049538
271,2.5276,150.88,1589367054440
272,2.5276,99.03,1589367054466
273,2.5276,348.63,1589367054480
274,2.5277,618.36,1589367054500
275,2.5277,526.57,1589367054514
276,2.5277,70.8,1589367054523
277,2.5277,253.53,1589367054533
278,2.5277,33.72,1589367054600
279,2.5278,5.3,1589367054600
280,2.528,4.38,1589367054635
281,2.529,5.23,1589367089240
282,2.5288,68.04,1589367112752
283,2.5291,5.3,1589367116842
284,2.5295,9.76,1589367116842
285,2.53,184.94,1589367116842
286,2.528,91.55,1589367119988
287,2.5281,343.88,1589367130279
288,2.5281,68.78,1589367130283
289,2.5281,163.77,1589367133745
290,2.5289,141.24,1589367151172
291,2.5298,185.58,1589367151274
292,2.5298,60.08,1589367151383
293,2.53,113.46,1589367151484
294,2.528,68.78,1589367154562
295,2.528,343.92,1589367154565
296,2.5281,109.54,1589367157709
297,2.528,400.0,1589367157735
298,2.528,186.8,1589367157741
299,2.5278,7.9,1589367157765
300,2.5274,7.9,1589367157858
301,2.5273,161.68,1589367157858
302,2.5269,20.0,1589367157930
303,2.527,7.9,1589367157958
304,2.5269,294.05,1589367157958
305,2.5276,79.11,1589367160957
306,2.5277,7.9,1589367162976
307,2.5279,31.2,1589367164833
308,2.5274,37.82,1589367164833
309,2.5275,7.9,1589367164855
310,2.5262,266.95,1589367164855
311,2.5262,344.03,1589367164857
312,2.5262,44.02,1589367164857
313,2.5257,24.8,1589367164857
314,2.5281,15.8,1589367171308
315,2.5289,510.93,1589367171308
316,2.529,710.18,1589367171308
317,2.5266,7.9,1589367186155
318,2.5266,68.81,1589367196844
319,2.5266,344.03,1589367196844
320,2.5266,68.84,1589367196894
321,2.5265,7.9,1589367199550
322,2.5253,192.1,1589367199550
323,2.5249,34.39,1589367207404
324,2.5247,39.1,1589367243750
325,2.5247,100.0,1589367244530
326,2.5247,200.0,1589367244533
327,2.5247,340.0,1589367244545
328,2.5247,988.26,1589367244630
329,2.5246,98.99,1589367244630
330,2.5239,101.34,1589367244630
331,2.5239,160.0,1589367244652
332,2.5239,100.0,1589367244654
333,2.5239,180.0,1589367244657
334,2.5248,98.98,1589367244888
335,2.5256,62.39,1589367266377
336,2.5256,36.64,1589367269324
337,2.5239,61.76,1589367270432
338,2.525,166.15,1589367279054
339,2.525,11.67,1589367279166
340,2.525,182.68,1589367287017
341,2.525,160.93,1589367287119
342,2.525,194.07,1589367287216
343,2.525,54.5,1589367287324
344,2.525,4.48,1589367294706
345,2.5237,311.96,1589367311967
346,2.5238,214.21,1589367316681
347,2.523,1512.7,1589367316893
348,2.5227,68.9,1589367316971
349,2.5224,284.03,1589367317384
350,2.5219,189.39,1589367317439
351,2.5219,190.23,1589367317453
352,2.5219,429.05,1589367317461
353,2.5219,57.08,1589367317471
354,2.5217,151.83,1589367317584
355,2.5217,151.83,1589367317615
356,2.5216,95.77,1589367317625
357,2.5216,173.58,1589367317645
358,2.5216,180.82,1589367317654
359,2.5216,157.29,1589367317667
360,2.5237,7.9,1589367340932
361,2.5246,15.8,1589367341252
362,2.5247,20.01,1589367341356
363,2.5247,191.13,1589367341877
364,2.5247,13.91,1589367341988
365,2.525,184.06,1589367363136
366,2.525,31.67,1589367366528
367,2.525,188.8,1589367367170
368,2.525,187.23,1589367367264
369,2.525,191.77,1589367367362
370,2.525,171.78,1589367367464
371,2.525,162.52,1589367367591
372,2.525,89.43,1589367367774
373,2.525,174.08,1589367367901
374,2.525,174.47,1589367367989
375,2.525,5.32,1589367368098
376,2.525,162.94,1589367368197
377,2.525,159.76,1589367368825
378,2.525,161.86,1589367368921
379,2.525,190.56,1589367369044
380,2.525,180.1,1589367369151
381,2.525,168.23,1589367369248
382,2.525,172.78,1589367369357
383,2.525,185.64,1589367369472
384,2.525,171.18,1589367369578
385,2.525,185.76,1589367369772
386,2.525,344.97,1589367374838
387,2.525,67.68,1589367374852
388,2.525,42.0,1589367379797
389,2.525,648.75,1589367380008
390,2.5252,7.91,1589367469293
391,2.525,84.42,1589367469496
392,2.525,7.91,1589367469701
393,2.5249,121.14,1589367469953
394,2.525,180.92,1589367500784
395,2.5258,46.73,1589367509303
396,2.527,60.49,1589367512694
397,2.527,60.45,1589367515139
398,2.5271,7.91,1589367516547
399,2.5259,67.71,1589367547928
400,2.5251,7.91,1589367555256
401,2.525,219.08,1589367555275
402,2.5249,1906.74,1589367555275
403,2.5248,271.47,1589367555275
404,2.5248,177.71,1589367555372
405,2.5248,63.4,1589367555531
406,2.5248,27.15,1589367555743
407,2.5248,66.63,1589367555841
408,2.5248,110.89,1589367578466
409,2.524,61.07,1589367583952
410,2.5232,7.91,1589367586853
411,2.5232,7.69,1589367588555
412,2.5231,4.36,1589367588555
413,2.5229,7.92,1589367588584
414,2.5229,168.48,1589367588780
415,2.5229,168.7,1589367588887
416,2.5229,5.32,1589367589003
417,2.5229,89.65,1589367589108
418,2.5229,12.29,1589367599552
419,2.523,32.25,1589367605703
420,2.523,170.26,1589367610399
421,2.523,172.33,1589367610500
422,2.523,144.87,1589367610601
423,2.5216,90.0,1589367616503
424,2.5216,11.2,1589367616503
425,2.5238,7.91,1589367629135
426,2.524,1351.15,1589367629291
427,2.5239,15.82,1589367629575
428,2.524,99.91,1589367629579
429,2.524,136.25,1589367629656
430,2.524,1047.39,1589367629721
431,2.524,1981.58,1589367629793
432,2.524,40.34,1589367629864
433,2.524,247.03,1589367629939
434,2.524,35.28,1589367629939
435,2.525,1000.0,1589367631368
436,2.525,1153.2,1589367632993
437,2.525,77.11,1589367635465
438,2.525,183.41,1589367641779
439,2.525,184.6,1589367641999
440,2.525,91.69,1589367642554
441,2.525,27.17,1589367644147
442,2.525,50.0,1589367644360
443,2.525,207.26,1589367644778
444,2.525,207.26,1589367644795
445,2.525,68.85,1589367644908
446,2.525,576.29,1589367645017
447,2.525,1181.15,1589367645021
448,2.5254,169.25,1589367645095
449,2.5252,23.07,1589367650345
450,2.5252,45.79,1589367650471
451,2.5252,62.58,1589367650817
452,2.5252,10.3,1589367650931
453,2.5252,25.7,1589367651926
454,2.5252,68.85,1589367653761
455,2.5252,1103.2,1589367653795
456,2.5252,150.9,1589367653805
457,2.5252,69.16,1589367653829
458,2.5252,69.16,1589367653842
459,2.5252,136.7,1589367653847
460,2.5252,850.0,1589367653860
461,2.5252,250.0,1589367653863
462,2.5252,457.5,1589367653874
463,2.5252,500.0,1589367653875
464,2.5252,11.8,1589367653988
465,2.5252,206.72,1589367654051
466,2.5252,2380.0,1589367654109
467,2.5252,183.77,1589367654237
468,2.5252,228.0,1589367654363
469,2.5252,200.0,1589367654402
470,2.5252,2966.8,1589367654525
471,2.526,20.7,1589367654583
472,2.526,68.79,1589367654692
473,2.526,22.3,1589367654845
474,2.526,200.0,1589367654925
475,2.526,100.0,1589367654930
476,2.526,3430.0,1589367654940
477,2.526,20.1,1589367655087
478,2.526,207.57,1589367655181
479,2.5244,120.82,1589367655328
480,2.526,20.13,1589367655346
481,2.526,19.7,1589367655364
482,2.526,890.71,1589367655366
483,2.5274,68.86,1589367655370
484,2.5275,131.14,1589367655370
485,2.5275,20.07,1589367655598
486,2.5275,100.0,1589367655668
487,2.5275,120.1,1589367655669
488,2.5275,99.9,1589367655672
489,2.5249,7.91,1589367660174
490,2.5247,375.49,1589367660174
491,2.5237,7.91,1589367660284
492,2.5236,132.47,1589367660284
493,2.5262,7.91,1589367665021
494,2.5263,52.45,1589367665021
495,2.5262,60.24,1589367666925
496,2.526,68.86,1589367673143
497,2.526,63.1,1589367673175
498,2.526,75.25,1589367673285
499,2.526,68.86,1589367673799
500,2.5251,7.91,1589367673860
501,2.5245,748.25,1589367675464
502,2.5255,344.43,1589367675878
503,2.5255,68.89,1589367675878
504,2.5255,248.59,1589367675911
505,2.5256,336.79,1589367675911
506,2.526,784.2,1589367681557
507,2.526,1000.0,1589367681559
508,2.526,1200.0,1589367681563
509,2.526,200.0,1589367685707
510,2.526,100.0,1589367685721
511,2.526,170.78,1589367685785
512,2.526,119.92,1589367686011
513,2.526,4.59,1589367686245
514,2.526,24.49,1589367687205
515,2.5238,32.5,1589367688755
516,2.526,151.84,1589367690005
517,2.526,22.4,1589367691157
518,2.5239,1075.05,1589367694692
519,2.5239,253.21,1589367694695
520,2.5238,300.0,1589367694712
521,2.5238,146.94,1589367694735
522,2.5237,197.5,1589367694735
523,2.5237,68.88,1589367694744
524,2.5255,50.0,1589367707702
525,2.5234,15.86,1589367716615
526,2.5232,7.91,1589367717662
527,2.5231,16.23,1589367717969
528,2.5235,120.48,1589367728264
529,2.5234,188.13,1589367733602
530,2.5252,4.0,1589367734050
531,2.5234,188.12,1589367734360
532,2.5234,28.39,1589367734680
533,2.5234,7.92,1589367734775
534,2.5234,163.41,1589367734916
535,2.5234,9.52,1589367735322
536,2.5234,70.7,1589367735636
537,2.5235,100.0,1589367756286
538,2.5235,88.26,1589367768323
539,2.525,35.0,1589367774059
540,2.525,12.19,1589367775915
541,2.525,175.38,1589367776557
542,2.525,47.6,1589367778984
543,2.525,80.0,1589367780821
544,2.525,194.73,1589367780889
545,2.525,99.0,1589367791981
546,2.525,100.0,1589367794352
547,2.525,65.03,1589367796389
548,2.525,506.7,1589367799449
549,2.525,39.39,1589367800628
550,2.525,134.3,1589367803389
551,2.525,62.4,1589367803599
552,2.525,20.01,1589367806097
553,2.525,36.8,1589367807702
554,2.525,26.71,1589367807704
555,2.525,20.06,1589367808033
556,2.525,20.08,1589367808370
557,2.525,20.06,1589367808727
558,2.525,20.13,1589367809095
559,2.525,168.73,1589367809369
560,2.525,20.02,1589367809479
561,2.525,6.89,1589367809576
562,2.525,20.02,1589367809870
563,2.525,3068.77,1589367810250
564,2.5253,7.91,1589367810281
565,2.5259,21.3,1589367810281
566,2.526,20.03,1589367810645
567,2.526,20.07,1589367811032
568,2.526,20.05,1589367811326
569,2.526,20.05,1589367811639
570,2.526,20.2,1589367811965
571,2.526,20.0,1589367812305
572,2.526,20.21,1589367812642
573,2.526,20.1,1589367812997
574,2.526,20.03,1589367813348
575,2.526,20.02,1589367813726
576,2.526,20.05,1589367814097
577,2.526,20.05,1589367814496
578,2.526,20.07,1589367814893
579,2.526,20.03,1589367815324
580,2.526,20.06,1589367815741
581,2.526,20.01,1589367816176
582,2.526,20.05,1589367816637
583,2.526,20.0,1589367817108
584,2.526,20.04,1589367817598
585,2.526,20.07,1589367818105
586,2.526,20.01,1589367818643
587,2.526,20.03,1589367819188
588,2.526,20.17,1589367819771
589,2.526,20.02,1589367820367
590,2.526,20.02,1589367820989
591,2.526,20.03,1589367821654
592,2.526,20.06,1589367822346
593,2.526,20.06,1589367823075
594,2.526,20.02,1589367823850
595,2.526,20.01,1589367824664
596,2.526,20.06,1589367825536
597,2.526,20.01,1589367826469
598,2.526,20.04,1589367827474
599,2.526,10.92,1589367827956
600,2.526,20.0,1589367828555
601,2.526,20.03,1589367829731
602,2.526,32.38,1589367830389
603,2.526,50.0,1589367830395
604,2.526,55.0,1589367830395
605,2.526,20.09,1589367830820
606,2.526,20.11,1589367831278
607,2.526,20.11,1589367831755
608,2.526,20.03,1589367832244
609,2.526,15.31,1589367832619
610,2.5274,20.07,1589367832815
611,2.5274,20.08,1589367833403
612,2.5274,20.09,1589367834038
613,2.5274,20.06,1589367834697
614,2.5274,20.06,1589367835400
615,2.5274,20.11,1589367836162
616,2.5274,20.0,1589367836961
617,2.5274,20.0,1589367837827
618,2.5274,20.04,1589367838770
619,2.5274,20.05,1589367839675
620,2.5274,20.02,1589367840650
621,2.5274,35.92,1589367841176
622,2.5274,47.29,1589367841178
623,2.5275,52.71,1589367841178
624,2.5275,200.0,1589367841184
625,2.5274,15.82,1589367841481
626,2.5275,4.29,1589367841481
627,2.5275,20.05,1589367841810
628,2.5275,20.17,1589367842143
629,2.5275,20.17,1589367842486
630,2.5275,20.13,1589367842844
631,2.5275,20.08,1589367843210
632,2.5275,20.06,1589367843588
633,2.5275,20.1,1589367843974
634,2.5275,20.06,1589367844377
635,2.5275,20.04,1589367844798
636,2.5275,20.08,1589367845232
637,2.5275,20.03,1589367845681
638,2.5275,20.06,1589367846145
639,2.5275,20.07,1589367846634
640,2.5275,20.1,1589367847145
641,2.5275,20.08,1589367847683
642,2.5275,20.06,1589367848241
643,2.5275,20.06,1589367848821
644,2.5275,20.05,1589367849441
645,2.5275,20.12,1589367850097
646,2.5275,20.08,1589367850788
647,2.5275,20.04,1589367851527
648,2.5275,20.02,1589367852311
649,2.5275,20.08,1589367853156
650,2.5275,20.05,1589367854069
651,2.5275,20.04,1589367855056
652,2.5275,20.06,1589367856138
653,2.5271,57.54,1589367856924
654,2.527,249.49,1589367856939
655,2.527,548.86,1589367856947
656,2.5253,7.91,1589367864744
657,2.5251,2000.0,1589367864744
658,2.525,137.34,1589367864744
659,2.5243,867.39,1589367864897
660,2.5236,2999.97,1589367872311
661,2.5235,15.0,1589367872311
662,2.5235,200.0,1589367872315
663,2.5235,992.5,1589367872327
664,2.5234,147.5,1589367872327
665,2.5234,196.47,1589367872340
666,2.5234,86.62,1589367872359
667,2.523,378.87,1589367872384
668,2.5229,260.17,1589367872384
669,2.5223,550.89,1589367872384
670,2.5221,7.92,1589367872502
671,2.522,300.0,1589367872502
672,2.5216,7.92,1589367872630
673,2.5215,55.43,1589367872639
674,2.5215,13.47,1589367872640
675,2.5214,9.76,1589367872640
676,2.5207,301.44,1589367872754
677,2.5207,43.06,1589367872769
678,2.5204,23.31,1589367873702
679,2.522,40.0,1589367874413
680,2.522,40.0,1589367874625
681,2.5204,68.93,1589367888730
682,2.5204,68.91,1589367892104
683,2.5207,68.9,1589367895557
684,2.5225,7.91,1589367928871
685,2.5231,192.09,1589367928871
686,2.523,15.84,1589367930393
687,2.5231,4.19,1589367930393
688,2.5231,20.02,1589367932166
689,2.5209,100.68,1589367932181
690,2.5231,20.0,1589367934190
691,2.5231,20.02,1589367936568
692,2.5231,20.02,1589367939426
693,2.5229,20.02,1589367942556
694,2.5208,7.92,1589367943361
695,2.5204,7.92,1589367944264
696,2.5203,5.3,1589367945723
697,2.5203,1630.77,1589367963137
698,2.5202,426.59,1589367963137
699,2.5201,1000.0,1589367963137
700,2.52,63.02,1589367963175
701,2.52,185.21,1589367963281
702,2.52,161.4,1589367963401
703,2.5195,161.27,1589367963410
704,2.52,161.4,1589367963495
705,2.5199,180.78,1589367963604
706,2.5199,165.15,1589367963711
707,2.5199,173.72,1589367963807
708,2.5199,184.14,1589367963919
709,2.5199,175.77,1589367964023
710,2.5199,173.3,1589367964123
711,2.5199,172.47,1589367964228
712,2.5199,188.65,1589367964337
713,2.5199,173.14,1589367964442
714,2.5199,194.44,1589367964545
715,2.5199,54.38,1589367964655
716,2.5199,185.4,1589367964757
717,2.5199,76.25,1589367964855
718,2.5199,99.25,1589367966124
719,2.5199,192.44,1589367966629
720,2.5199,7.93,1589367966745
721,2.5199,168.52,1589367966849
722,2.5199,7.93,1589367966956
723,2.5199,15.48,1589367967159
724,2.5199,29.89,1589367985716
725,2.52,1578.05,1589368008456
726,2.52,355.58,1589368008633
727,2.52,59.7,1589368008715
728,2.52,647.16,1589368008864
729,2.52,154.83,1589368008872
730,2.52,5.0,1589368009442
731,2.52,73.0,1589368012325
732,2.52,36.09,1589368013034
733,2.5191,189.59,1589368013159
734,2.5191,182.54,1589368013265
