,_p,_v,_t
189,7.0345,45.98,1589069015994
190,7.0308,2.25,1589069016481
191,7.0308,12.75,1589069016489
192,7.0308,6.98,1589069018393
193,7.0303,85.8,1589069018393
194,7.0291,7.5,1589069018393
195,7.0275,36.61,1589069018393
196,7.0274,191.1,1589069018393
197,7.0274,36.41,1589069018404
198,7.0269,3.2,1589069018404
199,7.0249,110.39,1589069018404
200,7.025,7.5,1589069018431
201,7.0247,20.71,1589069018431
202,7.0245,1.56,1589069018431
203,7.0244,40.23,1589069018431
204,7.0244,60.0,1589069018432
205,7.0244,50.0,1589069018435
206,7.0245,71.14,1589069018556
207,7.0245,9.58,1589069018565
208,7.0265,21.0,1589069019546
209,7.0265,17.94,1589069019724
210,7.0297,200.0,1589069020105
211,7.0297,7.5,1589069020132
212,7.0331,7.5,1589069020225
213,7.0345,13.81,1589069020225
214,7.0352,100.0,1589069021409
215,7.0349,100.0,1589069025007
216,7.0346,24.73,1589069025732
217,7.0295,46.9,1589069026815
218,7.0342,77.22,1589069028952
219,7.0337,56.93,1589069029707
220,7.0324,91.15,1589069030879
221,7.0289,30.85,1589069030924
222,7.0287,6.04,1589069030924
223,7.0339,62.7,1589069031026
224,7.0285,82.72,1589069031030
225,7.0284,67.28,1589069031030
226,7.0284,17.81,1589069031074
227,7.0281,25.0,1589069031087
228,7.0281,46.08,1589069031096
229,7.0278,5.32,1589069031110
230,7.0278,19.69,1589069031113
231,7.0268,6.23,1589069031113
232,7.0268,25.01,1589069031116
233,7.0267,49.99,1589069031116
234,7.0267,4.87,1589069031118
235,7.0267,5.0,1589069031805
236,7.0267,25.25,1589069031811
237,7.0249,57.37,1589069032376
238,7.0255,30.25,1589069032408
239,7.0296,77.63,1589069032993
240,7.027,7.12,1589069035512
241,7.025,28.59,1589069035512
242,7.0249,30.0,1589069035512
243,7.0248,7.5,1589069035512
244,7.0242,2.59,1589069035512
245,7.0241,4.87,1589069035512
246,7.028,4.38,1589069036823
247,7.0241,4.97,1589069036985
248,7.0232,2.84,1589069036985
249,7.0222,1.71,1589069036985
250,7.0215,7.5,1589069036985
251,7.0214,3.36,1589069036985
252,7.021,6.56,1589069036985
253,7.021,72.06,1589069036985
254,7.0241,1.99,1589069038997
255,7.0241,7.5,1589069039313
256,7.0221,100.0,1589069039729
257,7.0218,72.35,1589069039729
258,7.0217,75.21,1589069039729
